RecordedAtTime,ItemIdentifier,ValidUntilTime,LineRef,DirectionRef,DataFrameRef,DatedVehicleJourneyRef,PublishedLineName,OperatorRef,OriginRef,OriginName,DestinationRef,DestinationName,OriginAimedDepartureTime,DestinationAimedArrivalTime,Longitude,Latitude,BlockRef,VehicleRef,TicketMachineServiceCode,JourneyCode,VehicleUniqueId,FileTimestamp,Bearing,Monitored,DriverRef
2025-04-10T09:00:09+00:00,a5950ae2-06da-4939-841b-70ab646bb31a,2025-04-10T09:05:24.257+00:00,35,outbound,2025-04-10,1020,35,AMSY,2800S15052B,Millwood_Avenue,2800S13241A,Station_Road,2025-04-10T08:44:00+00:00,2025-04-10T09:24:00+00:00,-2.732106,53.45318,1705.0,710,35,944.0,710,2025-04-10 10:00:10,,,
2025-04-10T09:00:14+00:00,adab823a-2451-4645-86d6-23ea8dd669f2,2025-04-10T09:05:24.257+00:00,32,outbound,2025-04-10,1031,32,AMSY,2800S15036A,Loughrigg_Avenue,2800S13165A,Fallow_Close,2025-04-10T09:10:00+00:00,2025-04-10T09:52:00+00:00,-2.72653,53.479028,1723.0,712,32,1010.0,712,2025-04-10 10:00:10,,,
2025-04-10T08:59:55+00:00,ae9f3fe7-4291-4324-a3b1-7bd0d6b6eae7,2025-04-10T09:05:24.257+00:00,35,inbound,2025-04-10,1015,35,AMSY,2800S13241A,Station_Road,2800S15052B,Millwood_Avenue,2025-04-10T08:32:00+00:00,2025-04-10T09:07:00+00:00,-2.763265,53.457296,1715.0,713,35,948.0,713,2025-04-10 10:00:10,273.0,,
2025-04-10T09:00:12+00:00,30ebeae7-0c39-4c0b-8abb-1937570559a5,2025-04-10T09:05:24.257+00:00,32A,outbound,2025-04-10,1025,32A,AMSY,2800S15038A,Hawes_Avenue,2800S13061A,Gorsey_Lane,2025-04-10T08:25:00+00:00,2025-04-10T09:06:00+00:00,-2.709981,53.429561,1701.0,716,32A,945.0,716,2025-04-10 10:00:10,191.0,,
2025-04-10T09:00:03+00:00,e811dcd7-5a48-40f4-9ff0-347205f29777,2025-04-10T09:05:24.257+00:00,35,inbound,2025-04-10,1017,35,AMSY,2800S13241A,Station_Road,2800S15052B,Millwood_Avenue,2025-04-10T09:02:00+00:00,2025-04-10T09:37:00+00:00,-2.700908,53.433785,1718.0,718,35,1002.0,718,2025-04-10 10:00:10,,,
2025-04-09T17:44:31+00:00,fe2227d9-d54f-48e2-83c2-7634911e8900,2025-04-10T09:05:24.257+00:00,3A,inbound,2025-04-09,1028,3A,AMSY,2800S48089D,Liverpool_John_Lennon_Airport,2800S51034A,Wilson_Road,2025-04-09T16:40:00+00:00,2025-04-09T17:44:00+00:00,-2.814366,53.401076,10.0,719,K3A,1740.0,719,2025-04-10 10:00:10,243.0,,
2025-04-09T17:21:18+00:00,11510385-2ab1-4975-8e1f-d203552b09e9,2025-04-10T09:05:24.257+00:00,32,outbound,2025-04-09,1091,32,AMSY,2800S15036A,Loughrigg_Avenue,2800S13078A,Shakespeare_Road,2025-04-09T16:40:00+00:00,2025-04-09T17:23:00+00:00,-2.732931,53.414213,1744.0,721,32E,1740.0,721,2025-04-10 10:00:10,,,
2025-04-10T09:00:14+00:00,41d643cd-0c79-41f4-ad60-d34026a29973,2025-04-10T09:05:24.257+00:00,32A,inbound,2025-04-10,1032,32A,AMSY,2800S13061A,Gorsey_Lane,2800S15038A,Hawes_Avenue,2025-04-10T08:39:00+00:00,2025-04-10T09:15:00+00:00,-2.723818,53.44747,1727.0,724,32A,939.0,724,2025-04-10 10:00:10,341.0,,
2025-04-10T09:00:17+00:00,b5e048a0-2ba0-496a-b014-fef67837fb33,2025-04-10T09:05:24.257+00:00,32,inbound,2025-04-10,1034,32,AMSY,2800S13165A,Fallow_Close,2800S15036A,Loughrigg_Avenue,2025-04-10T08:53:00+00:00,2025-04-10T09:32:00+00:00,-2.714456,53.42761,1717.0,725,32,953.0,725,2025-04-10 10:00:10,231.0,,
2025-04-09T17:33:23+00:00,494b17ec-a1e1-4de0-a06c-80cc3ccf597d,2025-04-10T09:05:24.257+00:00,201,inbound,2025-04-09,1004,201,AMSY,2800S41023A,Low_Hill,2800S48190A,Morrisons,2025-04-09T16:15:00+00:00,2025-04-09T17:13:00+00:00,-2.921516,53.417106,9002.0,1019,201,1715.0,1019,2025-04-10 10:00:10,,,
2025-04-09T19:54:13+00:00,e563b41b-bc58-47ac-978a-af491cd7a86d,2025-04-10T09:05:24.257+00:00,201,inbound,2025-04-09,1006,201,AMSY,2800S41023A,Low_Hill,2800S48190A,Morrisons,2025-04-09T19:05:00+00:00,2025-04-09T19:52:00+00:00,-2.834156,53.341043,9003.0,1039,201,2005.0,1039,2025-04-10 10:00:10,99.0,,
2025-04-10T09:00:06+00:00,697a2a6a-1f03-473c-be2a-521e9d6ab2fd,2025-04-10T09:05:24.257+00:00,413,outbound,2025-04-10,1011,413,AMSY,2800S22008E,Woodside_Interchange,2800S21009A,Seacombe_Ferry_Terminal,2025-04-10T08:15:00+00:00,2025-04-10T09:23:00+00:00,-3.097466,53.412341,1058.0,2750,413,915.0,2750,2025-04-10 10:00:10,347.0,,
2025-04-10T09:00:03+00:00,63d3943b-bbb6-4ded-8cef-018676fffebc,2025-04-10T09:05:24.257+00:00,487,outbound,2025-04-10,1013,487,AMSY,2800S42029A,Whitechapel,0610EP1425,Ness_Botanic_Gardens,2025-04-10T08:30:00+00:00,2025-04-10T09:39:00+00:00,-3.021251,53.350116,1078.0,2751,487,941.0,2751,2025-04-10 10:00:10,134.0,,
2025-04-10T09:00:17+00:00,45d5f454-75b0-45d7-8824-374e6714f652,2025-04-10T09:05:24.257+00:00,410,inbound,2025-04-10,1030,410,AMSY,2800S27013A,Clatterbridge_Hosp_Outpatients,2800S23075G,Rowson_Street,2025-04-10T08:55:00+00:00,2025-04-10T09:59:00+00:00,-3.022301,53.339206,1074.0,2753,410,955.0,2753,2025-04-10 10:00:10,46.0,,
2025-04-10T09:00:07+00:00,3b3a286e-9b77-4887-ac5f-77845277301c,2025-04-10T09:05:24.257+00:00,413,inbound,2025-04-10,1016,413,AMSY,2800S21009B,Seacombe_Ferry_Terminal,2800S22008C,Woodside_Bus_Station,2025-04-10T08:28:00+00:00,2025-04-10T09:40:00+00:00,-3.101343,53.403521,1046.0,2754,413,928.0,2754,2025-04-10 10:00:10,217.0,,
2025-04-10T09:00:01+00:00,85932fbe-bb79-4067-853b-6d8a220df384,2025-04-10T09:05:24.257+00:00,414,outbound,2025-04-10,1011,414,AMSY,2800S22008C,Woodside_Bus_Station,2800S23075G,Rowson_Street,2025-04-10T08:30:00+00:00,2025-04-10T09:38:00+00:00,-3.099005,53.384098,1076.0,2755,414,930.0,2755,2025-04-10 10:00:10,354.0,,
